アイテム,識別子,ラベル,地域,緯度,経度
https://mediaarts-db.bunka.go.jp/id/C45358,C45358,テヨン,"Poland, małopolskie, Kraków",,
https://mediaarts-db.bunka.go.jp/id/C45360,C45360,デジタル・メディア・ラボ,東京都中央区八丁堀3-27-10,,
https://mediaarts-db.bunka.go.jp/id/C45367,C45367,LUMENOX EHF,ice,,
https://mediaarts-db.bunka.go.jp/id/C45365,C45365,ソニー・インタラクティブエンタテインメント,108－0075東京都港区港南1丁目7番1号 ソニーシティ[1],,
https://mediaarts-db.bunka.go.jp/id/C45368,C45368,Curve Digital ENTERTAINMENT LIMITED,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C45366,C45366,データウエスト株式会社,大阪市中央区城見1丁目3番7号 IMPビル 19F,,
https://mediaarts-db.bunka.go.jp/id/C45363,C45363,ソフトバンク株式会社,東京都港区東新橋一丁目9番1号,,
https://mediaarts-db.bunka.go.jp/id/C45333,C45333,EA Bright Light,"Guildford, UK",,
https://mediaarts-db.bunka.go.jp/id/C45340,C45340,Pikii合同会社,新潟県新潟市中央区西馬越3-12,,
https://mediaarts-db.bunka.go.jp/id/C45330,C45330,Tomato,London,,
https://mediaarts-db.bunka.go.jp/id/C45330,C45330,Tomato,Melbourne,,
https://mediaarts-db.bunka.go.jp/id/C45330,C45330,Tomato,Tokyo,,
https://mediaarts-db.bunka.go.jp/id/C45331,C45331,ダイヤモンドヘッド,大阪府大阪市北区梅田2丁目5番25号,,
https://mediaarts-db.bunka.go.jp/id/C45328,C45328,The 3DO Company,"Redwood City, California, U.S.",,
https://mediaarts-db.bunka.go.jp/id/C45329,C45329,id Software,"1500 N Greenville Ave #700 Richardson, Tx 75081, U.S.",,
https://mediaarts-db.bunka.go.jp/id/C45326,C45326,セレン有限会社,埼玉県所沢市小手指町1-26-12井花屋ビル,,
https://mediaarts-db.bunka.go.jp/id/C45325,C45325,テクノソフト,長崎県佐世保市勝海町165-1,,
https://mediaarts-db.bunka.go.jp/id/C45327,C45327,東北新社,東京都港区赤坂4丁目8番10号,,
https://mediaarts-db.bunka.go.jp/id/C45324,C45324,ヘクト,東京都千代田区一番町22-3 アデックス一番町ビル,,
https://mediaarts-db.bunka.go.jp/id/C45322,C45322,アルゴノートゲームス,"London, England, U.K.",,
https://mediaarts-db.bunka.go.jp/id/C45323,C45323,アイビーアーツ,神奈川県横浜市港北区新横浜3-17-6イノテックビル,,
https://mediaarts-db.bunka.go.jp/id/C45332,C45332,Software Creations,"Manchester, England, U.K.",,
https://mediaarts-db.bunka.go.jp/id/C45335,C45335,Other Ocean Interactive,"St. John's, Newfoundland and Labrador, Canada",,
https://mediaarts-db.bunka.go.jp/id/C45341,C45341,ブループリント,東京都中央区銀座1-8-19 キラリトギンザ 11F,,
https://mediaarts-db.bunka.go.jp/id/C45342,C45342,インターチャネル,東京都新宿区市谷船河原町1番地市ヶ谷エスワンビル3F,,
https://mediaarts-db.bunka.go.jp/id/C45343,C45343,デジタルワークスエンターテインメント,東京都渋谷区代々木1-24-10TSビル2階,,
https://mediaarts-db.bunka.go.jp/id/C45339,C45339,ピッキー合同会社,新潟県新潟市中央区西馬越3番12号,,
https://mediaarts-db.bunka.go.jp/id/C45338,C45338,オインクゲームズ,東京都港区南青山5-4-51シャトー青山第一701,,
https://mediaarts-db.bunka.go.jp/id/C45336,C45336,アークシステムワークス株式会社,神奈川県横浜市港北区新横浜2-3-9 新横浜金子ビル,,
https://mediaarts-db.bunka.go.jp/id/C45337,C45337,テンゲン,東京都千代田区岩本町2-19-5,,
https://mediaarts-db.bunka.go.jp/id/C45369,C45369,SOEDESCO Publishing B.V.,"Hoogvliet, Rotterdam, Netherlands",,
https://mediaarts-db.bunka.go.jp/id/C45370,C45370,ユードー,東京都港区新橋3-11-8,,
https://mediaarts-db.bunka.go.jp/id/C45372,C45372,Microsoft Studios,"Redmond, WA",,
https://mediaarts-db.bunka.go.jp/id/C45373,C45373,Team 17 Software Limited,"Wakefield, England",,
https://mediaarts-db.bunka.go.jp/id/C45494,C45494,Bizarre Creations,"Liverpool, England",,
https://mediaarts-db.bunka.go.jp/id/C45504,C45504,Square Enix Ltd,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C45442,C45442,"Armature Studio, LLC","Austin, Texas, United States",,
https://mediaarts-db.bunka.go.jp/id/C45451,C45451,Empire Interactive,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C45584,C45584,Vector Unit Inc,"San Rafael, California",,
https://mediaarts-db.bunka.go.jp/id/C46800,C46800,東洋経済新報社,東京都中央区,,
https://mediaarts-db.bunka.go.jp/id/C46807,C46807,ジーウォーク,東京都目黒区,,
https://mediaarts-db.bunka.go.jp/id/C46808,C46808,ぎょうせい,東京都中央区,,
https://mediaarts-db.bunka.go.jp/id/C46816,C46816,INAX,東京都中央区,,
https://mediaarts-db.bunka.go.jp/id/C46863,C46863,北樹出版,東京都目黒区,,
https://mediaarts-db.bunka.go.jp/id/C46867,C46867,朝日ソノラマ,東京都中央区,,
https://mediaarts-db.bunka.go.jp/id/C44937,C44937,フォグ,東京都町田市玉川学園3丁目13番27号,,
https://mediaarts-db.bunka.go.jp/id/C44936,C44936,ファンユニット,大阪府大阪市西区江戸堀1-25-13,,
https://mediaarts-db.bunka.go.jp/id/C44938,C44938,フライハイワークス株式会社,東京都台東区駒形,,
https://mediaarts-db.bunka.go.jp/id/C44939,C44939,フリュー株式会社,東京都渋谷区鶯谷町2番3号COMSビル2F,,
https://mediaarts-db.bunka.go.jp/id/C44956,C44956,メディア・ファイブ,埼玉県さいたま市,,
https://mediaarts-db.bunka.go.jp/id/C44928,C44928,ピグミースタジオ,大阪府大阪市中央区南本町2-4-10,,
https://mediaarts-db.bunka.go.jp/id/C44934,C44934,ビヨンド・インタラクティブ株式会社,神奈川県横浜市,,
https://mediaarts-db.bunka.go.jp/id/C44935,C44935,びんぼうソフト,埼玉県さいたま市,,
https://mediaarts-db.bunka.go.jp/id/C44932,C44932,ヒューネックス株式会社,東京都国分寺市南町3-8-19 グランシャリオ国分寺壱番館202号室,,
https://mediaarts-db.bunka.go.jp/id/C44933,C44933,ヒューマン,東京都武蔵野市吉祥寺南町四丁目4番13号,,
https://mediaarts-db.bunka.go.jp/id/C44929,C44929,ビスコ,京都府京都市中京区猪熊通蛸薬師下る下瓦町581三原ビル3階,,
https://mediaarts-db.bunka.go.jp/id/C44930,C44930,ビック東海,静岡県静岡市,,
https://mediaarts-db.bunka.go.jp/id/C44921,C44921,ネットレヴォ,神奈川県横浜市神奈川区西神奈川,,
https://mediaarts-db.bunka.go.jp/id/C44918,C44918,ナムコ,東京都大田区矢口2-1-21,,
https://mediaarts-db.bunka.go.jp/id/C44919,C44919,ネクソンジャパン,東京都中央区,,
https://mediaarts-db.bunka.go.jp/id/C44915,C44915,トライエース,東京都港区芝3丁目8番2号,,
https://mediaarts-db.bunka.go.jp/id/C44916,C44916,ドラキュー,大阪府大阪市北区梅田2丁目6-20　パシフィックマークス西梅田ビル501,,
https://mediaarts-db.bunka.go.jp/id/C44917,C44917,トレジャー,東京都中野区新井2-35-10,,
https://mediaarts-db.bunka.go.jp/id/C44922,C44922,パオン・ディーピー,東京都北区田端1-21-8 NSKビル,,
https://mediaarts-db.bunka.go.jp/id/C44920,C44920,ネットファーム・コミュニケーションズ株式会社,北海道札幌市中央区大通西5丁目1-1,,
https://mediaarts-db.bunka.go.jp/id/C44924,C44924,バンダイ,東京都台東区駒形一丁目4番8号,,
https://mediaarts-db.bunka.go.jp/id/C44925,C44925,バンダイビジュアル株式会社,東京都渋谷区恵比寿一丁目18番14号 恵比寿ファーストスクエア4階・5階,,
https://mediaarts-db.bunka.go.jp/id/C44926,C44926,バンプレスト,東京都品川区東品川4-12-2品川シーサイド ウエストタワー2F,,
